county,state,"Rates of Persons, aged 45 to 54, Living with HIV, 2020"
Autauga,Alabama,255
Baldwin,Alabama,315
Barbour,Alabama,734
Bibb,Alabama,422
Blount,Alabama,158
Bullock,Alabama,931
Butler,Alabama,355
Calhoun,Alabama,374
Chambers,Alabama,686
Cherokee,Alabama,228
Chilton,Alabama,281
Choctaw,Alabama,453
Clarke,Alabama,446
Clay,Alabama,402
Cleburne,Alabama,-1
Coffee,Alabama,230
Colbert,Alabama,272
Conecuh,Alabama,420
Coosa,Alabama,-1
Covington,Alabama,402
Crenshaw,Alabama,356
Cullman,Alabama,188
Dale,Alabama,655
Dallas,Alabama,801
DeKalb,Alabama,182
Elmore,Alabama,494
Escambia,Alabama,458
Etowah,Alabama,421
Fayette,Alabama,-1
Franklin,Alabama,271
Geneva,Alabama,378
Greene,Alabama,-1
Hale,Alabama,826
Henry,Alabama,690
Houston,Alabama,758
Jackson,Alabama,249
Jefferson,Alabama,1124
Lamar,Alabama,455
Lauderdale,Alabama,207
Lawrence,Alabama,-1
Lee,Alabama,363
Limestone,Alabama,174
Lowndes,Alabama,1338
Macon,Alabama,628
Madison,Alabama,392
Marengo,Alabama,342
Marion,Alabama,273
Marshall,Alabama,305
Mobile,Alabama,959
Monroe,Alabama,427
Montgomery,Alabama,1360
Morgan,Alabama,260
Perry,Alabama,748
Pickens,Alabama,474
Pike,Alabama,780
Randolph,Alabama,-1
Russell,Alabama,722
Shelby,Alabama,282
St. Clair,Alabama,264
Sumter,Alabama,965
Talladega,Alabama,523
Tallapoosa,Alabama,412
Tuscaloosa,Alabama,425
Walker,Alabama,238
Washington,Alabama,239
Wilcox,Alabama,-1
Winston,Alabama,-1
Aleutians East,Alaska,-4
Aleutians West,Alaska,-4
Anchorage,Alaska,-4
Bethel,Alaska,-4
Bristol Bay,Alaska,-4
Chugach,Alaska,-4
Copper River,Alaska,-4
Denali,Alaska,-4
Dillingham,Alaska,-4
Fairbanks North Star,Alaska,-4
Haines,Alaska,-4
Hoonah-Angoon,Alaska,-4
Juneau,Alaska,-4
Kenai Peninsula,Alaska,-4
Ketchikan Gateway,Alaska,-4
Kodiak Island,Alaska,-4
Kusilvak,Alaska,-4
Lake and Peninsula,Alaska,-4
Matanuska-Susitna,Alaska,-4
Nome,Alaska,-4
North Slope,Alaska,-4
Northwest Arctic,Alaska,-4
Petersburg,Alaska,-4
Prince of Wales-Hyder,Alaska,-4
Sitka,Alaska,-4
Skagway,Alaska,-4
Southeast Fairbanks,Alaska,-4
Wrangell,Alaska,-4
Yakutat,Alaska,-4
Yukon-Koyukuk,Alaska,-4
Apache,Arizona,388
Cochise,Arizona,421
Coconino,Arizona,229
Gila,Arizona,285
Graham,Arizona,239
Greenlee,Arizona,0
La Paz,Arizona,-1
Maricopa,Arizona,533
Mohave,Arizona,285
Navajo,Arizona,291
Pima,Arizona,546
Pinal,Arizona,590
Santa Cruz,Arizona,228
Yavapai,Arizona,322
Yuma,Arizona,304
Arkansas,Arkansas,431
Ashley,Arkansas,246
Baxter,Arkansas,199
Benton,Arkansas,204
Boone,Arkansas,176
Bradley,Arkansas,-1
Calhoun,Arkansas,0
Carroll,Arkansas,314
Chicot,Arkansas,505
Clark,Arkansas,456
Clay,Arkansas,-1
Cleburne,Arkansas,-1
Cleveland,Arkansas,-1
Columbia,Arkansas,325
Conway,Arkansas,-1
Craighead,Arkansas,377
Crawford,Arkansas,138
Crittenden,Arkansas,1109
Cross,Arkansas,544
Dallas,Arkansas,-1
Desha,Arkansas,-1
Drew,Arkansas,259
Faulkner,Arkansas,249
Franklin,Arkansas,-1
Fulton,Arkansas,-1
Garland,Arkansas,463
Grant,Arkansas,212
Greene,Arkansas,136
Hempstead,Arkansas,333
Hot Spring,Arkansas,232
Howard,Arkansas,-1
Independence,Arkansas,262
Izard,Arkansas,-1
Jackson,Arkansas,449
Jefferson,Arkansas,1001
Johnson,Arkansas,-1
Lafayette,Arkansas,-1
Lawrence,Arkansas,-1
Lee,Arkansas,992
Lincoln,Arkansas,804
Little River,Arkansas,463
Logan,Arkansas,-1
Lonoke,Arkansas,181
Madison,Arkansas,-1
Marion,Arkansas,377
Miller,Arkansas,503
Mississippi,Arkansas,304
Monroe,Arkansas,664
Montgomery,Arkansas,0
Nevada,Arkansas,480
Newton,Arkansas,-1
Ouachita,Arkansas,371
Perry,Arkansas,-1
Phillips,Arkansas,762
Pike,Arkansas,-1
Poinsett,Arkansas,-1
Polk,Arkansas,256
Pope,Arkansas,109
Prairie,Arkansas,507
Pulaski,Arkansas,961
Randolph,Arkansas,-1
Saline,Arkansas,207
Scott,Arkansas,-1
Searcy,Arkansas,-1
Sebastian,Arkansas,459
Sevier,Arkansas,-1
Sharp,Arkansas,-1
St. Francis,Arkansas,940
Stone,Arkansas,-1
Union,Arkansas,555
Van Buren,Arkansas,-1
Washington,Arkansas,372
White,Arkansas,209
Woodruff,Arkansas,-1
Yell,Arkansas,227
Alameda,California,669
Alpine,California,-2
Amador,California,-2
Butte,California,314
Calaveras,California,-2
Colusa,California,-2
Contra Costa,California,398
Del Norte,California,-2
El Dorado,California,208
Fresno,California,411
Glenn,California,-2
Humboldt,California,311
Imperial,California,525
Inyo,California,-2
Kern,California,457
Kings,California,311
Lake,California,432
Lassen,California,-2
Los Angeles,California,985
Madera,California,271
Marin,California,465
Mariposa,California,-2
Mendocino,California,367
Merced,California,234
Modoc,California,-2
Mono,California,-2
Monterey,California,414
Napa,California,377
Nevada,California,293
Orange,California,426
Placer,California,148
Plumas,California,-2
Riverside,California,670
Sacramento,California,574
San Benito,California,151
San Bernardino,California,439
San Diego,California,854
San Francisco,California,2626
San Joaquin,California,398
San Luis Obispo,California,306
San Mateo,California,384
Santa Barbara,California,304
Santa Clara,California,352
Santa Cruz,California,404
Shasta,California,184
Sierra,California,-2
Siskiyou,California,-2
Solano,California,516
Sonoma,California,440
Stanislaus,California,343
Sutter,California,230
Tehama,California,128
Trinity,California,-2
Tulare,California,205
Tuolumne,California,-2
Ventura,California,219
Yolo,California,275
Yuba,California,354
Adams,Colorado,434
Alamosa,Colorado,668
Arapahoe,Colorado,500
Archuleta,Colorado,-1
Baca,Colorado,-1
Bent,Colorado,-1
Boulder,Colorado,259
Broomfield,Colorado,-1
Chaffee,Colorado,-1
Cheyenne,Colorado,-1
Clear Creek,Colorado,426
Conejos,Colorado,-1
Costilla,Colorado,-1
Crowley,Colorado,-1
Custer,Colorado,0
Delta,Colorado,-1
Denver,Colorado,1392
Dolores,Colorado,-1
Douglas,Colorado,129
Eagle,Colorado,234
El Paso,Colorado,292
Elbert,Colorado,126
Fremont,Colorado,640
Garfield,Colorado,188
Gilpin,Colorado,0
Grand,Colorado,-1
Gunnison,Colorado,-1
Hinsdale,Colorado,-1
Huerfano,Colorado,-1
Jackson,Colorado,0
Jefferson,Colorado,310
Kiowa,Colorado,0
Kit Carson,Colorado,-1
La Plata,Colorado,131
Lake,Colorado,-1
Larimer,Colorado,188
Las Animas,Colorado,386
Lincoln,Colorado,904
Logan,Colorado,319
Mesa,Colorado,217
Mineral,Colorado,-1
Moffat,Colorado,-1
Montezuma,Colorado,-1
Montrose,Colorado,169
Morgan,Colorado,347
Otero,Colorado,-1
Ouray,Colorado,-1
Park,Colorado,-1
Phillips,Colorado,0
Pitkin,Colorado,189
Prowers,Colorado,-1
Pueblo,Colorado,347
Rio Blanco,Colorado,-1
Rio Grande,Colorado,-1
Routt,Colorado,252
Saguache,Colorado,-1
San Juan,Colorado,-1
San Miguel,Colorado,-1
Sedgwick,Colorado,-1
Summit,Colorado,387
Teller,Colorado,-1
Washington,Colorado,-1
Weld,Colorado,156
Yuma,Colorado,-1
Fairfield,Connecticut,520
Hartford,Connecticut,666
Litchfield,Connecticut,224
Middlesex,Connecticut,305
New Haven,Connecticut,736
New London,Connecticut,426
Tolland,Connecticut,211
Windham,Connecticut,357
Kent,Delaware,556
New Castle,Delaware,724
Sussex,Delaware,642
Alachua,Florida,768
Baker,Florida,822
Bay,Florida,562
Bradford,Florida,695
Brevard,Florida,538
Broward,Florida,1892
Calhoun,Florida,524
Charlotte,Florida,433
Citrus,Florida,373
Clay,Florida,374
Collier,Florida,554
Columbia,Florida,1055
DeSoto,Florida,1008
Dixie,Florida,581
Duval,Florida,1306
Escambia,Florida,891
Flagler,Florida,452
Franklin,Florida,-1
Gadsden,Florida,1218
Gilchrist,Florida,-1
Glades,Florida,2037
Gulf,Florida,305
Hamilton,Florida,2574
Hardee,Florida,475
Hendry,Florida,647
Hernando,Florida,428
Highlands,Florida,578
Hillsborough,Florida,877
Holmes,Florida,389
Indian River,Florida,572
Jackson,Florida,2137
Jefferson,Florida,1771
Lafayette,Florida,-1
Lake,Florida,599
Lee,Florida,654
Leon,Florida,1085
Levy,Florida,556
Liberty,Florida,-1
Madison,Florida,1053
Manatee,Florida,584
Marion,Florida,655
Martin,Florida,413
Miami-Dade,Florida,1702
Monroe,Florida,1337
Nassau,Florida,274
Okaloosa,Florida,489
Okeechobee,Florida,679
Orange,Florida,1175
Osceola,Florida,667
Palm Beach,Florida,1076
Pasco,Florida,395
Pinellas,Florida,978
Polk,Florida,774
Putnam,Florida,594
Santa Rosa,Florida,251
Sarasota,Florida,499
Seminole,Florida,533
St. Johns,Florida,227
St. Lucie,Florida,1130
Sumter,Florida,855
Suwannee,Florida,805
Taylor,Florida,1144
Union,Florida,2687
Volusia,Florida,659
Wakulla,Florida,651
Walton,Florida,309
Washington,Florida,1638
Appling,Georgia,459
Atkinson,Georgia,-1
Bacon,Georgia,850
Baker,Georgia,-1
Baldwin,Georgia,601
Banks,Georgia,-1
Barrow,Georgia,345
Bartow,Georgia,378
Ben Hill,Georgia,497
Berrien,Georgia,443
Bibb,Georgia,1571
Bleckley,Georgia,796
Brantley,Georgia,-1
Brooks,Georgia,953
Bryan,Georgia,184
Bulloch,Georgia,793
Burke,Georgia,809
Butts,Georgia,1077
Calhoun,Georgia,-1
Camden,Georgia,456
Candler,Georgia,-1
Carroll,Georgia,393
Catoosa,Georgia,140
Charlton,Georgia,614
Chatham,Georgia,1218
Chattahoochee,Georgia,0
Chattooga,Georgia,464
Cherokee,Georgia,286
Clarke,Georgia,683
Clay,Georgia,-1
Clayton,Georgia,1374
Clinch,Georgia,602
Cobb,Georgia,776
Coffee,Georgia,498
Colquitt,Georgia,765
Columbia,Georgia,262
Cook,Georgia,718
Coweta,Georgia,310
Crawford,Georgia,309
Crisp,Georgia,1413
Dade,Georgia,-1
Dawson,Georgia,283
Decatur,Georgia,1171
DeKalb,Georgia,2229
Dodge,Georgia,650
Dooly,Georgia,736
Dougherty,Georgia,1662
Douglas,Georgia,799
Early,Georgia,406
Echols,Georgia,-1
Effingham,Georgia,294
Elbert,Georgia,696
Emanuel,Georgia,601
Evans,Georgia,793
Fannin,Georgia,297
Fayette,Georgia,305
Floyd,Georgia,512
Forsyth,Georgia,137
Franklin,Georgia,441
Fulton,Georgia,2560
Gilmer,Georgia,386
Glascock,Georgia,-1
Glynn,Georgia,652
Gordon,Georgia,233
Grady,Georgia,509
Greene,Georgia,260
Gwinnett,Georgia,593
Habersham,Georgia,269
Hall,Georgia,273
Hancock,Georgia,0
Haralson,Georgia,121
Harris,Georgia,240
Hart,Georgia,295
Heard,Georgia,-1
Henry,Georgia,695
Houston,Georgia,535
Irwin,Georgia,1766
Jackson,Georgia,235
Jasper,Georgia,-1
Jeff Davis,Georgia,-1
Jefferson,Georgia,485
Jenkins,Georgia,672
Johnson,Georgia,445
Jones,Georgia,183
Lamar,Georgia,420
Lanier,Georgia,-1
Laurens,Georgia,885
Lee,Georgia,295
Liberty,Georgia,1047
Lincoln,Georgia,524
Long,Georgia,-1
Lowndes,Georgia,1513
Lumpkin,Georgia,185
Macon,Georgia,902
Madison,Georgia,152
Marion,Georgia,-1
McDuffie,Georgia,523
McIntosh,Georgia,963
Meriwether,Georgia,595
Miller,Georgia,756
Mitchell,Georgia,1156
Monroe,Georgia,379
Montgomery,Georgia,-1
Morgan,Georgia,278
Murray,Georgia,108
Muscogee,Georgia,1212
Newton,Georgia,595
Oconee,Georgia,86
Oglethorpe,Georgia,242
Paulding,Georgia,289
Peach,Georgia,1186
Pickens,Georgia,140
Pierce,Georgia,389
Pike,Georgia,-1
Polk,Georgia,398
Pulaski,Georgia,347
Putnam,Georgia,258
Quitman,Georgia,-1
Rabun,Georgia,319
Randolph,Georgia,1618
Richmond,Georgia,1417
Rockdale,Georgia,885
Schley,Georgia,0
Screven,Georgia,813
Seminole,Georgia,-1
Spalding,Georgia,799
Stephens,Georgia,357
Stewart,Georgia,3134
Sumter,Georgia,1410
Talbot,Georgia,-1
Taliaferro,Georgia,0
Tattnall,Georgia,712
Taylor,Georgia,899
Telfair,Georgia,931
Terrell,Georgia,1205
Thomas,Georgia,603
Tift,Georgia,919
Toombs,Georgia,648
Towns,Georgia,-1
Treutlen,Georgia,1215
Troup,Georgia,598
Turner,Georgia,922
Twiggs,Georgia,-1
Union,Georgia,185
Upson,Georgia,447
Walker,Georgia,257
Walton,Georgia,466
Ware,Georgia,1098
Warren,Georgia,0
Washington,Georgia,367
Wayne,Georgia,494
Webster,Georgia,-1
Wheeler,Georgia,912
White,Georgia,-1
Whitfield,Georgia,261
Wilcox,Georgia,1878
Wilkes,Georgia,602
Wilkinson,Georgia,-1
Worth,Georgia,554
Hawaii,Hawaii,383
Honolulu,Hawaii,295
Kalawao,Hawaii,-1
Kauai,Hawaii,-1
Maui,Hawaii,373
Ada,Idaho,-2
Adams,Idaho,-2
Bannock,Idaho,-2
Bear Lake,Idaho,-2
Benewah,Idaho,-2
Bingham,Idaho,-2
Blaine,Idaho,-2
Boise,Idaho,-2
Bonner,Idaho,-2
Bonneville,Idaho,-2
Boundary,Idaho,-2
Butte,Idaho,-2
Camas,Idaho,-2
Canyon,Idaho,-2
Caribou,Idaho,-2
Cassia,Idaho,-2
Clark,Idaho,-2
Clearwater,Idaho,-2
Custer,Idaho,-2
Elmore,Idaho,-2
Franklin,Idaho,-2
Fremont,Idaho,-2
Gem,Idaho,-2
Gooding,Idaho,-2
Idaho,Idaho,-2
Jefferson,Idaho,-2
Jerome,Idaho,-2
Kootenai,Idaho,-2
Latah,Idaho,-2
Lemhi,Idaho,-2
Lewis,Idaho,-2
Lincoln,Idaho,-2
Madison,Idaho,-2
Minidoka,Idaho,-2
Nez Perce,Idaho,-2
Oneida,Idaho,-2
Owyhee,Idaho,-2
Payette,Idaho,-2
Power,Idaho,-2
Shoshone,Idaho,-2
Teton,Idaho,-2
Twin Falls,Idaho,-2
Valley,Idaho,-2
Washington,Idaho,-2
Adams,Illinois,-2
Alexander,Illinois,-2
Bond,Illinois,-2
Boone,Illinois,-2
Brown,Illinois,-2
Bureau,Illinois,-2
Calhoun,Illinois,-2
Carroll,Illinois,-2
Cass,Illinois,-2
Champaign,Illinois,-2
Christian,Illinois,-2
Clark,Illinois,-2
Clay,Illinois,-2
Clinton,Illinois,-2
Coles,Illinois,-2
Cook,Illinois,975
Crawford,Illinois,-2
Cumberland,Illinois,-2
De Witt,Illinois,-2
DeKalb,Illinois,-2
Douglas,Illinois,-2
DuPage,Illinois,166
Edgar,Illinois,-2
Edwards,Illinois,-2
Effingham,Illinois,-2
Fayette,Illinois,-2
Ford,Illinois,-2
Franklin,Illinois,-2
Fulton,Illinois,-2
Gallatin,Illinois,-2
Greene,Illinois,-2
Grundy,Illinois,-2
Hamilton,Illinois,-2
Hancock,Illinois,-2
Hardin,Illinois,-2
Henderson,Illinois,-2
Henry,Illinois,-2
Iroquois,Illinois,-2
Jackson,Illinois,-2
Jasper,Illinois,-2
Jefferson,Illinois,-2
Jersey,Illinois,-2
Jo Daviess,Illinois,-2
Johnson,Illinois,-2
Kane,Illinois,-2
Kankakee,Illinois,-2
Kendall,Illinois,-2
Knox,Illinois,-2
Lake,Illinois,206
LaSalle,Illinois,-2
Lawrence,Illinois,-2
Lee,Illinois,-2
Livingston,Illinois,-2
Logan,Illinois,-2
Macon,Illinois,-2
Macoupin,Illinois,-2
Madison,Illinois,-2
Marion,Illinois,-2
Marshall,Illinois,-2
Mason,Illinois,-2
Massac,Illinois,-2
McDonough,Illinois,-2
McHenry,Illinois,-2
McLean,Illinois,-2
Menard,Illinois,-2
Mercer,Illinois,-2
Monroe,Illinois,-2
Montgomery,Illinois,-2
Morgan,Illinois,-2
Moultrie,Illinois,-2
Ogle,Illinois,-2
Peoria,Illinois,-2
Perry,Illinois,-2
Piatt,Illinois,-2
Pike,Illinois,-2
Pope,Illinois,-2
Pulaski,Illinois,-2
Putnam,Illinois,-2
Randolph,Illinois,-2
Richland,Illinois,-2
Rock Island,Illinois,-2
Saline,Illinois,-2
Sangamon,Illinois,-2
Schuyler,Illinois,-2
Scott,Illinois,-2
Shelby,Illinois,-2
St. Clair,Illinois,-2
Stark,Illinois,-2
Stephenson,Illinois,-2
Tazewell,Illinois,-2
Union,Illinois,-2
Vermilion,Illinois,-2
Wabash,Illinois,-2
Warren,Illinois,-2
Washington,Illinois,-2
Wayne,Illinois,-2
White,Illinois,-2
Whiteside,Illinois,-2
Will,Illinois,151
Williamson,Illinois,-2
Winnebago,Illinois,-2
Woodford,Illinois,-2
Adams,Indiana,-1
Allen,Indiana,310
Bartholomew,Indiana,116
Benton,Indiana,-1
Blackford,Indiana,-1
Boone,Indiana,152
Brown,Indiana,-1
Carroll,Indiana,-1
Cass,Indiana,294
Clark,Indiana,401
Clay,Indiana,276
Clinton,Indiana,184
Crawford,Indiana,-1
Daviess,Indiana,142
Dearborn,Indiana,-1
Decatur,Indiana,210
DeKalb,Indiana,148
Delaware,Indiana,193
Dubois,Indiana,176
Elkhart,Indiana,241
Fayette,Indiana,236
Floyd,Indiana,201
Fountain,Indiana,-1
Franklin,Indiana,-1
Fulton,Indiana,-1
Gibson,Indiana,146
Grant,Indiana,201
Greene,Indiana,191
Hamilton,Indiana,165
Hancock,Indiana,151
Harrison,Indiana,-1
Hendricks,Indiana,261
Henry,Indiana,251
Howard,Indiana,315
Huntington,Indiana,-1
Jackson,Indiana,231
Jasper,Indiana,123
Jay,Indiana,-1
Jefferson,Indiana,198
Jennings,Indiana,-1
Johnson,Indiana,233
Knox,Indiana,178
Kosciusko,Indiana,55
LaGrange,Indiana,-1
Lake,Indiana,429
LaPorte,Indiana,316
Lawrence,Indiana,119
Madison,Indiana,362
Marion,Indiana,1063
Marshall,Indiana,-1
Martin,Indiana,0
Miami,Indiana,195
Monroe,Indiana,375
Montgomery,Indiana,196
Morgan,Indiana,155
Newton,Indiana,-1
Noble,Indiana,-1
Ohio,Indiana,-1
Orange,Indiana,216
Owen,Indiana,-1
Parke,Indiana,-1
Perry,Indiana,309
Pike,Indiana,0
Porter,Indiana,147
Posey,Indiana,-1
Pulaski,Indiana,-1
Putnam,Indiana,437
Randolph,Indiana,-1
Ripley,Indiana,-1
Rush,Indiana,-1
Scott,Indiana,1068
Shelby,Indiana,103
Spencer,Indiana,-1
St. Joseph,Indiana,528
Starke,Indiana,210
Steuben,Indiana,164
Sullivan,Indiana,181
Switzerland,Indiana,-1
Tippecanoe,Indiana,257
Tipton,Indiana,-1
Union,Indiana,-1
Vanderburgh,Indiana,378
Vermillion,Indiana,-1
Vigo,Indiana,375
Wabash,Indiana,139
Warren,Indiana,-1
Warrick,Indiana,99
Washington,Indiana,165
Wayne,Indiana,248
Wells,Indiana,-1
White,Indiana,-1
Whitley,Indiana,-1
Adair,Iowa,-1
Adams,Iowa,0
Allamakee,Iowa,-1
Appanoose,Iowa,-1
Audubon,Iowa,0
Benton,Iowa,-1
Black Hawk,Iowa,272
Boone,Iowa,-1
Bremer,Iowa,-1
Buchanan,Iowa,-1
Buena Vista,Iowa,257
Butler,Iowa,-1
Calhoun,Iowa,-1
Carroll,Iowa,-1
Cass,Iowa,-1
Cedar,Iowa,-1
Cerro Gordo,Iowa,262
Cherokee,Iowa,-1
Chickasaw,Iowa,-1
Clarke,Iowa,-1
Clay,Iowa,-1
Clayton,Iowa,-1
Clinton,Iowa,222
Crawford,Iowa,-1
Dallas,Iowa,143
Davis,Iowa,-1
Decatur,Iowa,-1
Delaware,Iowa,-1
Des Moines,Iowa,-1
Dickinson,Iowa,-1
Dubuque,Iowa,122
Emmet,Iowa,-1
Fayette,Iowa,282
Floyd,Iowa,-1
Franklin,Iowa,-1
Fremont,Iowa,-1
Greene,Iowa,-1
Grundy,Iowa,-1
Guthrie,Iowa,-1
Hamilton,Iowa,-1
Hancock,Iowa,-1
Hardin,Iowa,-1
Harrison,Iowa,-1
Henry,Iowa,-1
Howard,Iowa,-1
Humboldt,Iowa,0
Ida,Iowa,-1
Iowa,Iowa,-1
Jackson,Iowa,-1
Jasper,Iowa,153
Jefferson,Iowa,-1
