county,state,"Rates of Persons, aged 45 to 54, Living with HIV, 2020"
Florence,South Carolina,1139
Georgetown,South Carolina,710
Greenville,South Carolina,581
Greenwood,South Carolina,682
Hampton,South Carolina,991
Horry,South Carolina,589
Jasper,South Carolina,386
Kershaw,South Carolina,446
Lancaster,South Carolina,650
Laurens,South Carolina,508
Lee,South Carolina,2388
Lexington,South Carolina,511
Marion,South Carolina,1201
Marlboro,South Carolina,565
McCormick,South Carolina,-1
Newberry,South Carolina,569
Oconee,South Carolina,154
Orangeburg,South Carolina,1219
Pickens,South Carolina,298
Richland,South Carolina,1500
Saluda,South Carolina,349
Spartanburg,South Carolina,413
Sumter,South Carolina,1270
Union,South Carolina,482
Williamsburg,South Carolina,1779
York,South Carolina,316
Aurora,South Dakota,-2
Beadle,South Dakota,-2
Bennett,South Dakota,-2
Bon Homme,South Dakota,-2
Brookings,South Dakota,-2
Brown,South Dakota,-2
Brule,South Dakota,-2
Buffalo,South Dakota,-2
Butte,South Dakota,-2
Campbell,South Dakota,-2
Charles Mix,South Dakota,-2
Clark,South Dakota,-2
Clay,South Dakota,-2
Codington,South Dakota,-2
Corson,South Dakota,-2
Custer,South Dakota,-2
Davison,South Dakota,-2
Day,South Dakota,-2
Deuel,South Dakota,-2
Dewey,South Dakota,-2
Douglas,South Dakota,-2
Edmunds,South Dakota,-2
Fall River,South Dakota,-2
Faulk,South Dakota,-2
Grant,South Dakota,-2
Gregory,South Dakota,-2
Haakon,South Dakota,-2
Hamlin,South Dakota,-2
Hand,South Dakota,-2
Hanson,South Dakota,-2
Harding,South Dakota,-2
Hughes,South Dakota,-2
Hutchinson,South Dakota,-2
Hyde,South Dakota,-2
Jackson,South Dakota,-2
Jerauld,South Dakota,-2
Jones,South Dakota,-2
Kingsbury,South Dakota,-2
Lake,South Dakota,-2
Lawrence,South Dakota,-2
Lincoln,South Dakota,-2
Lyman,South Dakota,-2
Marshall,South Dakota,-2
McCook,South Dakota,-2
McPherson,South Dakota,-2
Meade,South Dakota,-2
Mellette,South Dakota,-2
Miner,South Dakota,-2
Minnehaha,South Dakota,-2
Moody,South Dakota,-2
Oglala Lakota,South Dakota,-2
Pennington,South Dakota,-2
Perkins,South Dakota,-2
Potter,South Dakota,-2
Roberts,South Dakota,-2
Sanborn,South Dakota,-2
Spink,South Dakota,-2
Stanley,South Dakota,-2
Sully,South Dakota,-2
Todd,South Dakota,-2
Tripp,South Dakota,-2
Turner,South Dakota,-2
Union,South Dakota,-2
Walworth,South Dakota,-2
Yankton,South Dakota,-2
Ziebach,South Dakota,-2
Anderson,Tennessee,183
Bedford,Tennessee,203
Benton,Tennessee,-1
Bledsoe,Tennessee,701
Blount,Tennessee,134
Bradley,Tennessee,284
Campbell,Tennessee,125
Cannon,Tennessee,354
Carroll,Tennessee,230
Carter,Tennessee,362
Cheatham,Tennessee,379
Chester,Tennessee,-1
Claiborne,Tennessee,-1
Clay,Tennessee,-1
Cocke,Tennessee,269
Coffee,Tennessee,224
Crockett,Tennessee,-1
Cumberland,Tennessee,212
Davidson,Tennessee,1189
Decatur,Tennessee,-1
DeKalb,Tennessee,292
Dickson,Tennessee,249
Dyer,Tennessee,194
Fayette,Tennessee,232
Fentress,Tennessee,-1
Franklin,Tennessee,138
Gibson,Tennessee,284
Giles,Tennessee,295
Grainger,Tennessee,267
Greene,Tennessee,192
Grundy,Tennessee,343
Hamblen,Tennessee,279
Hamilton,Tennessee,670
Hancock,Tennessee,-1
Hardeman,Tennessee,232
Hardin,Tennessee,346
Hawkins,Tennessee,124
Haywood,Tennessee,1399
Henderson,Tennessee,169
Henry,Tennessee,255
Hickman,Tennessee,436
Houston,Tennessee,-1
Humphreys,Tennessee,210
Jackson,Tennessee,-1
Jefferson,Tennessee,197
Johnson,Tennessee,311
Knox,Tennessee,478
Lake,Tennessee,1337
Lauderdale,Tennessee,627
Lawrence,Tennessee,214
Lewis,Tennessee,-1
Lincoln,Tennessee,299
Loudon,Tennessee,197
Macon,Tennessee,-1
Madison,Tennessee,431
Marion,Tennessee,239
Marshall,Tennessee,173
Maury,Tennessee,367
McMinn,Tennessee,182
McNairy,Tennessee,151
Meigs,Tennessee,-1
Monroe,Tennessee,195
Montgomery,Tennessee,431
Moore,Tennessee,-1
Morgan,Tennessee,327
Obion,Tennessee,209
Overton,Tennessee,306
Perry,Tennessee,-1
Pickett,Tennessee,-1
Polk,Tennessee,-1
Putnam,Tennessee,234
Rhea,Tennessee,116
Roane,Tennessee,153
Robertson,Tennessee,427
Rutherford,Tennessee,408
Scott,Tennessee,-1
Sequatchie,Tennessee,-1
Sevier,Tennessee,289
Shelby,Tennessee,1395
Smith,Tennessee,382
Stewart,Tennessee,-1
Sullivan,Tennessee,177
Sumner,Tennessee,214
Tipton,Tennessee,163
Trousdale,Tennessee,500
Unicoi,Tennessee,215
Union,Tennessee,-1
Van Buren,Tennessee,-1
Warren,Tennessee,381
Washington,Tennessee,408
Wayne,Tennessee,255
Weakley,Tennessee,131
White,Tennessee,226
Williamson,Tennessee,160
Wilson,Tennessee,251
Anderson,Texas,1002
Andrews,Texas,-1
Angelina,Texas,422
Aransas,Texas,264
Archer,Texas,-1
Armstrong,Texas,-1
Atascosa,Texas,296
Austin,Texas,378
Bailey,Texas,-1
Bandera,Texas,180
Bastrop,Texas,361
Baylor,Texas,-1
Bee,Texas,853
Bell,Texas,452
Bexar,Texas,643
Blanco,Texas,-1
Borden,Texas,-1
Bosque,Texas,279
Bowie,Texas,493
Brazoria,Texas,501
Brazos,Texas,468
Brewster,Texas,-1
Briscoe,Texas,0
Brooks,Texas,1070
Brown,Texas,156
Burleson,Texas,318
Burnet,Texas,182
Caldwell,Texas,360
Calhoun,Texas,260
Callahan,Texas,-1
Cameron,Texas,493
Camp,Texas,-1
Carson,Texas,-1
Cass,Texas,339
Castro,Texas,-1
Chambers,Texas,-1
Cherokee,Texas,620
Childress,Texas,778
Clay,Texas,-1
Cochran,Texas,-1
Coke,Texas,-1
Coleman,Texas,-1
Collin,Texas,355
Collingsworth,Texas,0
Colorado,Texas,544
Comal,Texas,192
Comanche,Texas,-1
Concho,Texas,1928
Cooke,Texas,106
Coryell,Texas,936
Cottle,Texas,-1
Crane,Texas,-1
Crockett,Texas,-1
Crosby,Texas,1184
Culberson,Texas,-1
Dallam,Texas,-1
Dallas,Texas,1443
Dawson,Texas,381
Deaf Smith,Texas,-1
Delta,Texas,-1
Denton,Texas,303
DeWitt,Texas,-1
Dickens,Texas,-1
Dimmit,Texas,0
Donley,Texas,0
Duval,Texas,426
Eastland,Texas,-1
Ector,Texas,331
Edwards,Texas,-1
El Paso,Texas,660
Ellis,Texas,311
Erath,Texas,-1
Falls,Texas,549
Fannin,Texas,302
Fayette,Texas,300
Fisher,Texas,-1
Floyd,Texas,0
Foard,Texas,0
Fort Bend,Texas,438
Franklin,Texas,-1
Freestone,Texas,1216
Frio,Texas,2108
Gaines,Texas,239
Galveston,Texas,601
Garza,Texas,2283
Gillespie,Texas,-1
Glasscock,Texas,-1
Goliad,Texas,-1
Gonzales,Texas,298
Gray,Texas,228
Grayson,Texas,305
Gregg,Texas,735
Grimes,Texas,624
Guadalupe,Texas,234
Hale,Texas,305
Hall,Texas,-1
Hamilton,Texas,0
Hansford,Texas,-1
Hardeman,Texas,-1
Hardin,Texas,171
Harris,Texas,1100
Harrison,Texas,350
Hartley,Texas,-1
Haskell,Texas,977
Hays,Texas,311
Hemphill,Texas,-1
Henderson,Texas,377
Hidalgo,Texas,388
Hill,Texas,189
Hockley,Texas,217
Hood,Texas,244
Hopkins,Texas,224
Houston,Texas,1573
Howard,Texas,909
Hudspeth,Texas,-1
Hunt,Texas,260
Hutchinson,Texas,301
Irion,Texas,-1
Jack,Texas,-1
Jackson,Texas,-1
Jasper,Texas,238
Jeff Davis,Texas,-1
Jefferson,Texas,926
Jim Hogg,Texas,-1
Jim Wells,Texas,250
Johnson,Texas,307
Jones,Texas,271
Karnes,Texas,2006
Kaufman,Texas,314
Kendall,Texas,203
Kenedy,Texas,-1
Kent,Texas,-1
Kerr,Texas,259
Kimble,Texas,-1
King,Texas,-1
Kinney,Texas,-1
Kleberg,Texas,179
Knox,Texas,-1
La Salle,Texas,783
Lamar,Texas,264
Lamb,Texas,505
Lampasas,Texas,-1
Lavaca,Texas,323
Lee,Texas,241
Leon,Texas,556
Liberty,Texas,556
Limestone,Texas,311
Lipscomb,Texas,0
Live Oak,Texas,-1
Llano,Texas,322
Loving,Texas,-1
Lubbock,Texas,390
Lynn,Texas,-1
Madison,Texas,867
Marion,Texas,684
Martin,Texas,-1
Mason,Texas,-1
Matagorda,Texas,488
Maverick,Texas,278
McCulloch,Texas,-1
McLennan,Texas,445
McMullen,Texas,-1
Medina,Texas,211
Menard,Texas,-1
Midland,Texas,343
Milam,Texas,280
Mills,Texas,0
Mitchell,Texas,0
Montague,Texas,296
Montgomery,Texas,310
Moore,Texas,-1
Morris,Texas,-1
Motley,Texas,0
Nacogdoches,Texas,493
Navarro,Texas,556
Newton,Texas,-1
Nolan,Texas,-1
Nueces,Texas,399
Ochiltree,Texas,-1
Oldham,Texas,0
Orange,Texas,382
Palo Pinto,Texas,331
Panola,Texas,386
Parker,Texas,176
Parmer,Texas,-1
Pecos,Texas,260
Polk,Texas,922
Potter,Texas,594
Presidio,Texas,-1
Rains,Texas,345
Randall,Texas,176
Reagan,Texas,-1
Real,Texas,-1
Red River,Texas,-1
Reeves,Texas,2447
Refugio,Texas,-1
Roberts,Texas,-1
Robertson,Texas,-1
Rockwall,Texas,207
Runnels,Texas,-1
Rusk,Texas,488
Sabine,Texas,-1
San Augustine,Texas,553
San Jacinto,Texas,412
San Patricio,Texas,210
San Saba,Texas,-1
Schleicher,Texas,-1
Scurry,Texas,-1
Shackelford,Texas,-1
Shelby,Texas,310
Sherman,Texas,-1
Smith,Texas,590
Somervell,Texas,-1
Starr,Texas,84
Stephens,Texas,510
Sterling,Texas,0
Stonewall,Texas,-1
Sutton,Texas,-1
Swisher,Texas,-1
Tarrant,Texas,569
Taylor,Texas,516
Terrell,Texas,-1
Terry,Texas,795
Throckmorton,Texas,0
Titus,Texas,250
Tom Green,Texas,285
Travis,Texas,737
Trinity,Texas,-1
Tyler,Texas,709
Upshur,Texas,286
Upton,Texas,-1
Uvalde,Texas,245
Val Verde,Texas,284
Van Zandt,Texas,295
Victoria,Texas,352
Walker,Texas,2184
Waller,Texas,218
Ward,Texas,-1
Washington,Texas,268
Webb,Texas,403
Wharton,Texas,581
Wheeler,Texas,-1
Wichita,Texas,324
Wilbarger,Texas,-1
Willacy,Texas,1782
Williamson,Texas,276
Wilson,Texas,144
Winkler,Texas,-1
Wise,Texas,193
Wood,Texas,265
Yoakum,Texas,0
Young,Texas,-1
Zapata,Texas,-1
Zavala,Texas,-1
Beaver,Utah,-1
Box Elder,Utah,124
Cache,Utah,129
Carbon,Utah,-1
Daggett,Utah,0
Davis,Utah,153
Duchesne,Utah,-1
Emery,Utah,-1
Garfield,Utah,-1
Grand,Utah,-1
Iron,Utah,157
Juab,Utah,-1
Kane,Utah,-1
Millard,Utah,477
Morgan,Utah,-1
Piute,Utah,0
Rich,Utah,-1
Salt Lake,Utah,426
San Juan,Utah,-1
Sanpete,Utah,-1
Sevier,Utah,-1
Summit,Utah,-1
Tooele,Utah,117
Uintah,Utah,-1
Utah,Utah,100
Wasatch,Utah,-1
Washington,Utah,176
Wayne,Utah,-1
Weber,Utah,130
Addison,Vermont,-2
Bennington,Vermont,-2
Caledonia,Vermont,-2
Chittenden,Vermont,42
Essex,Vermont,-2
Franklin,Vermont,-2
Grand Isle,Vermont,-2
Lamoille,Vermont,-2
Orange,Vermont,-2
Orleans,Vermont,-2
Rutland,Vermont,-1
Washington,Vermont,-1
Windham,Vermont,-2
Windsor,Vermont,-2
Accomack,Virginia,674
Albemarle,Virginia,354
Alexandria,Virginia,1390
Alleghany,Virginia,-1
Amelia,Virginia,301
Amherst,Virginia,289
Appomattox,Virginia,309
Arlington,Virginia,1033
Augusta,Virginia,121
Bath,Virginia,-1
Bedford,Virginia,188
Bedford,Virginia,undefined
Bland,Virginia,-1
Botetourt,Virginia,128
Bristol,Virginia,283
Brunswick,Virginia,735
Buchanan,Virginia,210
Buckingham,Virginia,480
Buena Vista,Virginia,-1
Campbell,Virginia,244
Caroline,Virginia,413
Carroll,Virginia,-1
Charles City,Virginia,560
Charlotte,Virginia,-1
Charlottesville,Virginia,1111
Chesapeake,Virginia,486
Chesterfield,Virginia,351
Clarke,Virginia,-1
Colonial Heights,Virginia,298
Covington,Virginia,996
Craig,Virginia,-1
Culpeper,Virginia,371
Cumberland,Virginia,481
Danville,Virginia,1059
Dickenson,Virginia,-1
Dinwiddie,Virginia,180
Emporia,Virginia,-1
Essex,Virginia,-1
Fairfax,Virginia,446
Fairfax,Virginia,605
Falls Church,Virginia,413
Fauquier,Virginia,205
Floyd,Virginia,331
Fluvanna,Virginia,256
Franklin,Virginia,152
Franklin,Virginia,-1
Frederick,Virginia,229
Fredericksburg,Virginia,840
Galax,Virginia,0
Giles,Virginia,-1
Gloucester,Virginia,149
Goochland,Virginia,383
Grayson,Virginia,332
Greene,Virginia,359
Greensville,Virginia,1333
Halifax,Virginia,350
Hampton,Virginia,892
Hanover,Virginia,199
Harrisonburg,Virginia,448
Henrico,Virginia,518
Henry,Virginia,294
Highland,Virginia,-1
Hopewell,Virginia,1084
Isle of Wight,Virginia,402
James City,Virginia,197
King and Queen,Virginia,-1
King George,Virginia,273
King William,Virginia,-1
Lancaster,Virginia,927
Lee,Virginia,160
Lexington,Virginia,-1
Loudoun,Virginia,203
Louisa,Virginia,147
Lunenburg,Virginia,469
Lynchburg,Virginia,705
Madison,Virginia,-1
Manassas,Virginia,581
Manassas Park,Virginia,404
Martinsville,Virginia,477
Mathews,Virginia,-1
Mecklenburg,Virginia,510
Middlesex,Virginia,-1
Montgomery,Virginia,158
Nelson,Virginia,-1
New Kent,Virginia,216
Newport News,Virginia,990
Norfolk,Virginia,1977
Northampton,Virginia,584
Northumberland,Virginia,-1
Norton,Virginia,0
Nottoway,Virginia,953
Orange,Virginia,357
Page,Virginia,159
Patrick,Virginia,-1
Petersburg,Virginia,2095
Pittsylvania,Virginia,175
Poquoson,Virginia,-1
Portsmouth,Virginia,1387
Powhatan,Virginia,367
Prince Edward,Virginia,552
Prince George,Virginia,730
Prince William,Virginia,414
Pulaski,Virginia,125
Radford,Virginia,-1
Rappahannock,Virginia,-1
Richmond,Virginia,-1
Richmond,Virginia,1539
Roanoke,Virginia,212
Roanoke,Virginia,941
Rockbridge,Virginia,183
Rockingham,Virginia,171
Russell,Virginia,-1
Salem,Virginia,259
Scott,Virginia,-1
Shenandoah,Virginia,146
Smyth,Virginia,336
Southampton,Virginia,343
Spotsylvania,Virginia,364
Stafford,Virginia,208
Staunton,Virginia,341
Suffolk,Virginia,457
Surry,Virginia,-1
Sussex,Virginia,1229
Tazewell,Virginia,98
Virginia Beach,Virginia,452
Warren,Virginia,287
Washington,Virginia,99
Waynesboro,Virginia,625
Westmoreland,Virginia,407
Williamsburg,Virginia,738
Winchester,Virginia,811
Wise,Virginia,408
Wythe,Virginia,-1
York,Virginia,146
Adams,Washington,-1
Asotin,Washington,355
Benton,Washington,269
Chelan,Washington,286
Clallam,Washington,173
Clark,Washington,334
Columbia,Washington,-1
Cowlitz,Washington,348
Douglas,Washington,-1
Ferry,Washington,-1
Franklin,Washington,261
Garfield,Washington,-1
Grant,Washington,104
Grays Harbor,Washington,273
Island,Washington,297
Jefferson,Washington,158
King,Washington,654
Kitsap,Washington,248
Kittitas,Washington,229
Klickitat,Washington,-1
Lewis,Washington,214
Lincoln,Washington,-1
Mason,Washington,322
Okanogan,Washington,106
Pacific,Washington,206
Pend Oreille,Washington,-1
Pierce,Washington,396
San Juan,Washington,262
Skagit,Washington,251
Skamania,Washington,-1
Snohomish,Washington,340
Spokane,Washington,287
Stevens,Washington,-1
Thurston,Washington,222
Wahkiakum,Washington,-1
Walla Walla,Washington,245
Whatcom,Washington,276
Whitman,Washington,161
Yakima,Washington,246
District of Columbia,"Washington, D.C.",-4
Barbour,West Virginia,-1
Berkeley,West Virginia,234
Boone,West Virginia,204
Braxton,West Virginia,-1
Brooke,West Virginia,-1
Cabell,West Virginia,495
Calhoun,West Virginia,-1
Clay,West Virginia,-1
Doddridge,West Virginia,-1
Fayette,West Virginia,206
Gilmer,West Virginia,-1
Grant,West Virginia,-1
Greenbrier,West Virginia,170
Hampshire,West Virginia,-1
Hancock,West Virginia,-1
Hardy,West Virginia,275
Harrison,West Virginia,246
Jackson,West Virginia,-1
Jefferson,West Virginia,219
Kanawha,West Virginia,503
Lewis,West Virginia,-1
Lincoln,West Virginia,-1
Logan,West Virginia,145
Marion,West Virginia,203
Marshall,West Virginia,129
Mason,West Virginia,-1
McDowell,West Virginia,-1
Mercer,West Virginia,156
Mineral,West Virginia,-1
Mingo,West Virginia,-1
Monongalia,West Virginia,209
Monroe,West Virginia,359
Morgan,West Virginia,206
Nicholas,West Virginia,-1
Ohio,West Virginia,217
Pendleton,West Virginia,-1
Pleasants,West Virginia,658
Pocahontas,West Virginia,-1
Preston,West Virginia,296
Putnam,West Virginia,117
Raleigh,West Virginia,320
Randolph,West Virginia,140
Ritchie,West Virginia,-1
Roane,West Virginia,-1
Summers,West Virginia,-1
Taylor,West Virginia,-1
Tucker,West Virginia,-1
Tyler,West Virginia,-1
Upshur,West Virginia,-1
Wayne,West Virginia,-1
Webster,West Virginia,-1
Wetzel,West Virginia,-1
Wirt,West Virginia,-1
Wood,West Virginia,158
Wyoming,West Virginia,-1
Adams,Wisconsin,-1
Ashland,Wisconsin,-1
Barron,Wisconsin,97
Bayfield,Wisconsin,0
Brown,Wisconsin,216
Buffalo,Wisconsin,-1
Burnett,Wisconsin,0
Calumet,Wisconsin,-1
Chippewa,Wisconsin,76
Clark,Wisconsin,-1
Columbia,Wisconsin,161
Crawford,Wisconsin,-1
Dane,Wisconsin,297
Dodge,Wisconsin,139
Door,Wisconsin,165
Douglas,Wisconsin,135
Dunn,Wisconsin,122
Eau Claire,Wisconsin,56
Florence,Wisconsin,0
Fond du Lac,Wisconsin,128
Forest,Wisconsin,-1
Grant,Wisconsin,119
Green,Wisconsin,-1
Green Lake,Wisconsin,0
Iowa,Wisconsin,-1
Iron,Wisconsin,-1
Jackson,Wisconsin,-1
Jefferson,Wisconsin,63
Juneau,Wisconsin,143
Kenosha,Wisconsin,261
Kewaunee,Wisconsin,-1
La Crosse,Wisconsin,151
Lafayette,Wisconsin,-1
Langlade,Wisconsin,-1
Lincoln,Wisconsin,-1
Manitowoc,Wisconsin,72
Marathon,Wisconsin,65
Marinette,Wisconsin,108
Marquette,Wisconsin,-1
Menominee,Wisconsin,-1
Milwaukee,Wisconsin,712
Monroe,Wisconsin,109
Oconto,Wisconsin,-1
Oneida,Wisconsin,120
Outagamie,Wisconsin,141
Ozaukee,Wisconsin,61
Pepin,Wisconsin,0
Pierce,Wisconsin,-1
Polk,Wisconsin,90
Portage,Wisconsin,142
Price,Wisconsin,-1
Racine,Wisconsin,204
Richland,Wisconsin,-1
Rock,Wisconsin,210
Rusk,Wisconsin,-1
Sauk,Wisconsin,90
Sawyer,Wisconsin,-1
Shawano,Wisconsin,116
Sheboygan,Wisconsin,154
St. Croix,Wisconsin,73
Taylor,Wisconsin,-1
Trempealeau,Wisconsin,-1
Vernon,Wisconsin,-1
Vilas,Wisconsin,-1
Walworth,Wisconsin,89
Washburn,Wisconsin,-1
Washington,Wisconsin,54
Waukesha,Wisconsin,67
Waupaca,Wisconsin,-1
Waushara,Wisconsin,168
Winnebago,Wisconsin,152
Wood,Wisconsin,174
Albany,Wyoming,155
Big Horn,Wyoming,-1
Campbell,Wyoming,116
Carbon,Wyoming,-1
Converse,Wyoming,-1
Crook,Wyoming,-1
Fremont,Wyoming,-1
Goshen,Wyoming,-1
Hot Springs,Wyoming,0
Johnson,Wyoming,-1
Laramie,Wyoming,162
Lincoln,Wyoming,0
Natrona,Wyoming,101
Niobrara,Wyoming,-1
Park,Wyoming,0
Platte,Wyoming,-1
Sheridan,Wyoming,-1
Sublette,Wyoming,0
Sweetwater,Wyoming,-1
Teton,Wyoming,-1
Uinta,Wyoming,-1
Washakie,Wyoming,-1
Weston,Wyoming,-1
