county,state,"Rates of Persons, aged 55+, Living with HIV, 2020"
Yellowstone,Montana,-1
Adams,Nebraska,-1
Antelope,Nebraska,0
Arthur,Nebraska,0
Banner,Nebraska,0
Blaine,Nebraska,-1
Boone,Nebraska,0
Box Butte,Nebraska,-1
Boyd,Nebraska,-1
Brown,Nebraska,-1
Buffalo,Nebraska,-1
Burt,Nebraska,-1
Butler,Nebraska,0
Cass,Nebraska,-1
Cedar,Nebraska,-1
Chase,Nebraska,0
Cherry,Nebraska,0
Cheyenne,Nebraska,-1
Clay,Nebraska,-1
Colfax,Nebraska,-1
Cuming,Nebraska,-1
Custer,Nebraska,-1
Dakota,Nebraska,-1
Dawes,Nebraska,-1
Dawson,Nebraska,-1
Deuel,Nebraska,0
Dixon,Nebraska,0
Dodge,Nebraska,-1
Douglas,Nebraska,76
Dundy,Nebraska,-1
Fillmore,Nebraska,0
Franklin,Nebraska,0
Frontier,Nebraska,-1
Furnas,Nebraska,0
Gage,Nebraska,-1
Garden,Nebraska,0
Garfield,Nebraska,0
Gosper,Nebraska,-1
Grant,Nebraska,0
Greeley,Nebraska,0
Hall,Nebraska,-1
Hamilton,Nebraska,0
Harlan,Nebraska,0
Hayes,Nebraska,-1
Hitchcock,Nebraska,-1
Holt,Nebraska,-1
Hooker,Nebraska,0
Howard,Nebraska,0
Jefferson,Nebraska,-1
Johnson,Nebraska,0
Kearney,Nebraska,0
Keith,Nebraska,-1
Keya Paha,Nebraska,0
Kimball,Nebraska,0
Knox,Nebraska,-1
Lancaster,Nebraska,51
Lincoln,Nebraska,-1
Logan,Nebraska,0
Loup,Nebraska,0
Madison,Nebraska,47
McPherson,Nebraska,0
Merrick,Nebraska,-1
Morrill,Nebraska,-1
Nance,Nebraska,0
Nemaha,Nebraska,-1
Nuckolls,Nebraska,0
Otoe,Nebraska,-1
Pawnee,Nebraska,0
Perkins,Nebraska,0
Phelps,Nebraska,-1
Pierce,Nebraska,0
Platte,Nebraska,-1
Polk,Nebraska,-1
Red Willow,Nebraska,0
Richardson,Nebraska,-1
Rock,Nebraska,-1
Saline,Nebraska,-1
Sarpy,Nebraska,-1
Saunders,Nebraska,0
Scotts Bluff,Nebraska,-1
Seward,Nebraska,0
Sheridan,Nebraska,-1
Sherman,Nebraska,0
Sioux,Nebraska,-1
Stanton,Nebraska,-1
Thayer,Nebraska,-1
Thomas,Nebraska,0
Thurston,Nebraska,-1
Valley,Nebraska,0
Washington,Nebraska,0
Wayne,Nebraska,0
Webster,Nebraska,0
Wheeler,Nebraska,0
York,Nebraska,-1
Carson City,Nevada,-1
Churchill,Nevada,107
Clark,Nevada,473
Douglas,Nevada,-1
Elko,Nevada,91
Esmeralda,Nevada,-1
Eureka,Nevada,-1
Humboldt,Nevada,-1
Lander,Nevada,-1
Lincoln,Nevada,0
Lyon,Nevada,142
Mineral,Nevada,-1
Nye,Nevada,229
Pershing,Nevada,-1
Storey,Nevada,-1
Washoe,Nevada,320
White Pine,Nevada,-1
Belknap,New Hampshire,-2
Carroll,New Hampshire,-2
Cheshire,New Hampshire,-2
Coos,New Hampshire,-2
Grafton,New Hampshire,-2
Hillsborough,New Hampshire,-2
Merrimack,New Hampshire,-2
Rockingham,New Hampshire,-2
Strafford,New Hampshire,-2
Sullivan,New Hampshire,-2
Atlantic,New Jersey,686
Bergen,New Jersey,304
Burlington,New Jersey,287
Camden,New Jersey,485
Cape May,New Jersey,-1
Cumberland,New Jersey,-1
Essex,New Jersey,2030
Gloucester,New Jersey,176
Hudson,New Jersey,1394
Hunterdon,New Jersey,195
Mercer,New Jersey,618
Middlesex,New Jersey,404
Monmouth,New Jersey,425
Morris,New Jersey,259
Ocean,New Jersey,186
Passaic,New Jersey,826
Salem,New Jersey,-1
Somerset,New Jersey,279
Sussex,New Jersey,-1
Union,New Jersey,767
Warren,New Jersey,-1
Bernalillo,New Mexico,320
Catron,New Mexico,-1
Chaves,New Mexico,-1
Cibola,New Mexico,291
Colfax,New Mexico,-1
Curry,New Mexico,96
De Baca,New Mexico,0
Do??a Ana,New Mexico,241
Eddy,New Mexico,-1
Grant,New Mexico,137
Guadalupe,New Mexico,-1
Harding,New Mexico,0
Hidalgo,New Mexico,-1
Lea,New Mexico,-1
Lincoln,New Mexico,-1
Los Alamos,New Mexico,-1
Luna,New Mexico,65
McKinley,New Mexico,-1
Mora,New Mexico,-1
Otero,New Mexico,-1
Quay,New Mexico,-1
Rio Arriba,New Mexico,-1
Roosevelt,New Mexico,-1
San Juan,New Mexico,-1
San Miguel,New Mexico,94
Sandoval,New Mexico,-1
Santa Fe,New Mexico,-1
Sierra,New Mexico,-1
Socorro,New Mexico,-1
Taos,New Mexico,216
Torrance,New Mexico,420
Union,New Mexico,-1
Valencia,New Mexico,160
Albany,New York,600
Allegany,New York,90
Bronx,New York,3520
Broome,New York,263
Cattaraugus,New York,131
Cayuga,New York,-1
Chautauqua,New York,-1
Chemung,New York,-1
Chenango,New York,-1
Clinton,New York,-1
Columbia,New York,-1
Cortland,New York,-1
Delaware,New York,-1
Dutchess,New York,477
Erie,New York,308
Essex,New York,-1
Franklin,New York,-1
Fulton,New York,190
Genesee,New York,-1
Greene,New York,-1
Hamilton,New York,-1
Herkimer,New York,93
Jefferson,New York,326
Kings,New York,1784
Lewis,New York,65
Livingston,New York,-1
Madison,New York,137
Monroe,New York,464
Montgomery,New York,-1
Nassau,New York,310
New York,New York,2889
Niagara,New York,143
Oneida,New York,-1
Onondaga,New York,325
Ontario,New York,-1
Orange,New York,481
Orleans,New York,730
Oswego,New York,-1
Otsego,New York,-1
Putnam,New York,-1
Queens,New York,1041
Rensselaer,New York,313
Richmond,New York,712
Rockland,New York,373
Saratoga,New York,-1
Schenectady,New York,412
Schoharie,New York,-1
Schuyler,New York,-1
Seneca,New York,-1
St. Lawrence,New York,-1
Steuben,New York,-1
Suffolk,New York,292
Sullivan,New York,-1
Tioga,New York,-1
Tompkins,New York,-1
Ulster,New York,489
Warren,New York,-1
Washington,New York,328
Wayne,New York,-1
Westchester,New York,571
Wyoming,New York,436
Yates,New York,67
Alamance,North Carolina,330
Alexander,North Carolina,-1
Alleghany,North Carolina,-1
Anson,North Carolina,258
Ashe,North Carolina,-1
Avery,North Carolina,-1
Beaufort,North Carolina,247
Bertie,North Carolina,-1
Bladen,North Carolina,-1
Brunswick,North Carolina,-1
Buncombe,North Carolina,383
Burke,North Carolina,-1
Cabarrus,North Carolina,241
Caldwell,North Carolina,125
Camden,North Carolina,-1
Carteret,North Carolina,-1
Caswell,North Carolina,-1
Catawba,North Carolina,-1
Chatham,North Carolina,-1
Cherokee,North Carolina,-1
Chowan,North Carolina,121
Clay,North Carolina,-1
Cleveland,North Carolina,254
Columbus,North Carolina,329
Craven,North Carolina,320
Cumberland,North Carolina,631
Currituck,North Carolina,112
Dare,North Carolina,85
Davidson,North Carolina,198
Davie,North Carolina,100
Duplin,North Carolina,-1
Durham,North Carolina,846
Edgecombe,North Carolina,546
Forsyth,North Carolina,561
Franklin,North Carolina,249
Gaston,North Carolina,377
Gates,North Carolina,156
Graham,North Carolina,-1
Granville,North Carolina,561
Greene,North Carolina,-1
Guilford,North Carolina,523
Halifax,North Carolina,429
Harnett,North Carolina,359
Haywood,North Carolina,163
Henderson,North Carolina,-1
Hertford,North Carolina,530
Hoke,North Carolina,478
Hyde,North Carolina,-1
Iredell,North Carolina,131
Jackson,North Carolina,129
Johnston,North Carolina,316
Jones,North Carolina,184
Lee,North Carolina,440
Lenoir,North Carolina,494
Lincoln,North Carolina,96
Macon,North Carolina,-1
Madison,North Carolina,-1
Martin,North Carolina,-1
McDowell,North Carolina,-1
Mecklenburg,North Carolina,767
Mitchell,North Carolina,82
Montgomery,North Carolina,123
Moore,North Carolina,173
Nash,North Carolina,377
New Hanover,North Carolina,366
Northampton,North Carolina,-1
Onslow,North Carolina,245
Orange,North Carolina,375
Pamlico,North Carolina,98
Pasquotank,North Carolina,370
Pender,North Carolina,-1
Perquimans,North Carolina,116
Person,North Carolina,-1
Pitt,North Carolina,465
Polk,North Carolina,127
Randolph,North Carolina,153
Richmond,North Carolina,-1
Robeson,North Carolina,415
Rockingham,North Carolina,-1
Rowan,North Carolina,305
Rutherford,North Carolina,-1
Sampson,North Carolina,-1
Scotland,North Carolina,336
Stanly,North Carolina,-1
Stokes,North Carolina,102
Surry,North Carolina,-1
Swain,North Carolina,-1
Transylvania,North Carolina,-1
Tyrrell,North Carolina,-1
Union,North Carolina,154
Vance,North Carolina,549
Wake,North Carolina,428
Warren,North Carolina,-1
Washington,North Carolina,-1
Watauga,North Carolina,96
Wayne,North Carolina,334
Wilkes,North Carolina,-1
Wilson,North Carolina,554
Yadkin,North Carolina,-1
Yancey,North Carolina,-1
Adams,North Dakota,-2
Barnes,North Dakota,-2
Benson,North Dakota,-2
Billings,North Dakota,-2
Bottineau,North Dakota,-2
Bowman,North Dakota,-2
Burke,North Dakota,-2
Burleigh,North Dakota,-2
Cass,North Dakota,-2
Cavalier,North Dakota,-2
Dickey,North Dakota,-2
Divide,North Dakota,-2
Dunn,North Dakota,-2
Eddy,North Dakota,-2
Emmons,North Dakota,-2
Foster,North Dakota,-2
Golden Valley,North Dakota,-2
Grand Forks,North Dakota,-2
Grant,North Dakota,-2
Griggs,North Dakota,-2
Hettinger,North Dakota,-2
Kidder,North Dakota,-2
LaMoure,North Dakota,-2
Logan,North Dakota,-2
McHenry,North Dakota,-2
McIntosh,North Dakota,-2
McKenzie,North Dakota,-2
McLean,North Dakota,-2
Mercer,North Dakota,-2
Morton,North Dakota,-2
Mountrail,North Dakota,-2
Nelson,North Dakota,-2
Oliver,North Dakota,-2
Pembina,North Dakota,-2
Pierce,North Dakota,-2
Ramsey,North Dakota,-2
Ransom,North Dakota,-2
Renville,North Dakota,-2
Richland,North Dakota,-2
Rolette,North Dakota,-2
Sargent,North Dakota,-2
Sheridan,North Dakota,-2
Sioux,North Dakota,-2
Slope,North Dakota,-2
Stark,North Dakota,-2
Steele,North Dakota,-2
Stutsman,North Dakota,-2
Towner,North Dakota,-2
Traill,North Dakota,-2
Walsh,North Dakota,-2
Ward,North Dakota,-2
Wells,North Dakota,-2
Williams,North Dakota,-2
Adams,Ohio,-1
Allen,Ohio,-1
Ashland,Ohio,-1
Ashtabula,Ohio,133
Athens,Ohio,114
Auglaize,Ohio,79
Belmont,Ohio,86
Brown,Ohio,88
Butler,Ohio,130
Carroll,Ohio,-1
Champaign,Ohio,131
Clark,Ohio,-1
Clermont,Ohio,75
Clinton,Ohio,-1
Columbiana,Ohio,-1
Coshocton,Ohio,72
Crawford,Ohio,75
Cuyahoga,Ohio,462
Darke,Ohio,-1
Defiance,Ohio,80
Delaware,Ohio,-1
Erie,Ohio,103
Fairfield,Ohio,127
Fayette,Ohio,-1
Franklin,Ohio,509
Fulton,Ohio,79
Gallia,Ohio,-1
Geauga,Ohio,38
Greene,Ohio,133
Guernsey,Ohio,-1
Hamilton,Ohio,420
Hancock,Ohio,-1
Hardin,Ohio,-1
Harrison,Ohio,-1
Henry,Ohio,-1
Highland,Ohio,-1
Hocking,Ohio,132
Holmes,Ohio,-1
Huron,Ohio,70
Jackson,Ohio,-1
Jefferson,Ohio,-1
Knox,Ohio,-1
Lake,Ohio,99
Lawrence,Ohio,-1
Licking,Ohio,133
Logan,Ohio,59
Lorain,Ohio,164
Lucas,Ohio,265
Madison,Ohio,-1
Mahoning,Ohio,282
Marion,Ohio,-1
Medina,Ohio,-1
Meigs,Ohio,73
Mercer,Ohio,44
Miami,Ohio,-1
Monroe,Ohio,-1
Montgomery,Ohio,317
Morgan,Ohio,147
Morrow,Ohio,-1
Muskingum,Ohio,-1
Noble,Ohio,-1
Ottawa,Ohio,34
Paulding,Ohio,-1
Perry,Ohio,69
Pickaway,Ohio,-1
Pike,Ohio,110
Portage,Ohio,89
Preble,Ohio,-1
Putnam,Ohio,45
Richland,Ohio,135
Ross,Ohio,-1
Sandusky,Ohio,-1
Scioto,Ohio,91
Seneca,Ohio,66
Shelby,Ohio,-1
Stark,Ohio,130
Summit,Ohio,205
Trumbull,Ohio,-1
Tuscarawas,Ohio,-1
Union,Ohio,157
Van Wert,Ohio,-1
Vinton,Ohio,-1
Warren,Ohio,96
Washington,Ohio,77
Wayne,Ohio,-1
Williams,Ohio,127
Wood,Ohio,87
Wyandot,Ohio,-1
Adair,Oklahoma,-1
Alfalfa,Oklahoma,-1
Atoka,Oklahoma,-1
Beaver,Oklahoma,-1
Beckham,Oklahoma,-1
Blaine,Oklahoma,-1
Bryan,Oklahoma,-1
Caddo,Oklahoma,-1
Canadian,Oklahoma,-1
Carter,Oklahoma,-1
Cherokee,Oklahoma,110
Choctaw,Oklahoma,135
Cimarron,Oklahoma,0
Cleveland,Oklahoma,120
Coal,Oklahoma,-1
Comanche,Oklahoma,190
Cotton,Oklahoma,-1
Craig,Oklahoma,-1
Creek,Oklahoma,-1
Custer,Oklahoma,110
Delaware,Oklahoma,56
Dewey,Oklahoma,0
Ellis,Oklahoma,-1
Garfield,Oklahoma,102
Garvin,Oklahoma,58
Grady,Oklahoma,-1
Grant,Oklahoma,-1
Greer,Oklahoma,-1
Harmon,Oklahoma,-1
Harper,Oklahoma,-1
Haskell,Oklahoma,-1
Hughes,Oklahoma,121
Jackson,Oklahoma,106
Jefferson,Oklahoma,-1
Johnston,Oklahoma,-1
Kay,Oklahoma,-1
Kingfisher,Oklahoma,126
Kiowa,Oklahoma,-1
Latimer,Oklahoma,-1
Le Flore,Oklahoma,121
Lincoln,Oklahoma,-1
Logan,Oklahoma,86
Love,Oklahoma,-1
Major,Oklahoma,-1
Marshall,Oklahoma,96
Mayes,Oklahoma,-1
McClain,Oklahoma,-1
McCurtain,Oklahoma,78
McIntosh,Oklahoma,-1
Murray,Oklahoma,-1
Muskogee,Oklahoma,-1
Noble,Oklahoma,157
Nowata,Oklahoma,-1
Okfuskee,Oklahoma,189
Oklahoma,Oklahoma,356
Okmulgee,Oklahoma,129
Osage,Oklahoma,161
Ottawa,Oklahoma,52
Pawnee,Oklahoma,-1
Payne,Oklahoma,-1
Pittsburg,Oklahoma,55
Pontotoc,Oklahoma,-1
Pottawatomie,Oklahoma,-1
Pushmataha,Oklahoma,-1
Roger Mills,Oklahoma,-1
Rogers,Oklahoma,-1
Seminole,Oklahoma,140
Sequoyah,Oklahoma,155
Stephens,Oklahoma,-1
Texas,Oklahoma,-1
Tillman,Oklahoma,0
Tulsa,Oklahoma,322
Wagoner,Oklahoma,-1
Washington,Oklahoma,-1
Washita,Oklahoma,-1
Woods,Oklahoma,0
Woodward,Oklahoma,142
Baker,Oregon,131
Benton,Oregon,98
Clackamas,Oregon,203
Clatsop,Oregon,-1
Columbia,Oregon,-1
Coos,Oregon,129
Crook,Oregon,-1
Curry,Oregon,-1
Deschutes,Oregon,-1
Douglas,Oregon,-1
Gilliam,Oregon,-1
Grant,Oregon,-1
Harney,Oregon,-1
Hood River,Oregon,143
Jackson,Oregon,-1
Jefferson,Oregon,-1
Josephine,Oregon,-1
Klamath,Oregon,-1
Lake,Oregon,-1
Lane,Oregon,167
Lincoln,Oregon,-1
Linn,Oregon,-1
Malheur,Oregon,-1
Marion,Oregon,186
Morrow,Oregon,-1
Multnomah,Oregon,668
Polk,Oregon,91
Sherman,Oregon,-1
Tillamook,Oregon,111
Umatilla,Oregon,-1
Union,Oregon,78
Wallowa,Oregon,-1
Wasco,Oregon,-1
Washington,Oregon,187
Wheeler,Oregon,0
Yamhill,Oregon,-1
Adams,Pennsylvania,182
Allegheny,Pennsylvania,308
Armstrong,Pennsylvania,91
Beaver,Pennsylvania,90
Bedford,Pennsylvania,95
Berks,Pennsylvania,392
Blair,Pennsylvania,-1
Bradford,Pennsylvania,66
Bucks,Pennsylvania,213
Butler,Pennsylvania,-1
Cambria,Pennsylvania,-1
Cameron,Pennsylvania,-1
Carbon,Pennsylvania,-1
Centre,Pennsylvania,176
Chester,Pennsylvania,182
Clarion,Pennsylvania,-1
Clearfield,Pennsylvania,-1
Clinton,Pennsylvania,79
Columbia,Pennsylvania,-1
Crawford,Pennsylvania,-1
Cumberland,Pennsylvania,173
Dauphin,Pennsylvania,541
Delaware,Pennsylvania,370
Elk,Pennsylvania,42
Erie,Pennsylvania,167
Fayette,Pennsylvania,-1
Forest,Pennsylvania,-1
Franklin,Pennsylvania,-1
Fulton,Pennsylvania,-1
Greene,Pennsylvania,106
Huntingdon,Pennsylvania,125
Indiana,Pennsylvania,73
Jefferson,Pennsylvania,-1
Juniata,Pennsylvania,91
Lackawanna,Pennsylvania,241
Lancaster,Pennsylvania,196
Lawrence,Pennsylvania,-1
Lebanon,Pennsylvania,279
Lehigh,Pennsylvania,490
Luzerne,Pennsylvania,164
Lycoming,Pennsylvania,-1
McKean,Pennsylvania,64
Mercer,Pennsylvania,-1
Mifflin,Pennsylvania,-1
Monroe,Pennsylvania,306
Montgomery,Pennsylvania,150
Montour,Pennsylvania,149
Northampton,Pennsylvania,-1
Northumberland,Pennsylvania,113
Perry,Pennsylvania,56
Philadelphia,Pennsylvania,1690
Pike,Pennsylvania,-1
Potter,Pennsylvania,74
Schuylkill,Pennsylvania,-1
Snyder,Pennsylvania,103
Somerset,Pennsylvania,-1
Sullivan,Pennsylvania,-1
Susquehanna,Pennsylvania,-1
Tioga,Pennsylvania,78
Union,Pennsylvania,319
Venango,Pennsylvania,82
Warren,Pennsylvania,32
Washington,Pennsylvania,-1
Wayne,Pennsylvania,94
Westmoreland,Pennsylvania,-1
Wyoming,Pennsylvania,-1
York,Pennsylvania,248
Adjuntas,Puerto Rico,-1
Aguada,Puerto Rico,52
Aguadilla,Puerto Rico,303
Aguas Buenas,Puerto Rico,-1
Aibonito,Puerto Rico,-1
Añasco,Puerto Rico,224
Arecibo,Puerto Rico,500
Arroyo,Puerto Rico,471
Barceloneta,Puerto Rico,-1
Barranquitas,Puerto Rico,-1
Bayamón,Puerto Rico,755
Cabo Rojo,Puerto Rico,161
Caguas,Puerto Rico,-1
Camuy,Puerto Rico,-1
Canóvanas,Puerto Rico,-1
Carolina,Puerto Rico,576
Cataño,Puerto Rico,-1
Cayey,Puerto Rico,-1
Ceiba,Puerto Rico,375
Ciales,Puerto Rico,454
Cidra,Puerto Rico,-1
Coamo,Puerto Rico,173
Comerío,Puerto Rico,-1
Corozal,Puerto Rico,-1
Culebra,Puerto Rico,-1
Dorado,Puerto Rico,-1
Fajardo,Puerto Rico,-1
Florida,Puerto Rico,355
Guánica,Puerto Rico,-1
Guayama,Puerto Rico,-1
Guayanilla,Puerto Rico,-1
Guaynabo,Puerto Rico,-1
Gurabo,Puerto Rico,-1
Hatillo,Puerto Rico,-1
Hormigueros,Puerto Rico,139
Humacao,Puerto Rico,-1
Isabela,Puerto Rico,170
Jayuya,Puerto Rico,161
Juana Díaz,Puerto Rico,504
Juncos,Puerto Rico,-1
Lajas,Puerto Rico,-1
Lares,Puerto Rico,150
Las Mar?­as,Puerto Rico,-1
Las Piedras,Puerto Rico,-1
Loíza,Puerto Rico,-1
Luquillo,Puerto Rico,-1
Manatí,Puerto Rico,-1
Maricao,Puerto Rico,-1
Maunabo,Puerto Rico,318
Mayagüez,Puerto Rico,-1
Moca,Puerto Rico,183
Morovis,Puerto Rico,-1
Naguabo,Puerto Rico,-1
Naranjito,Puerto Rico,-1
Orocovis,Puerto Rico,-1
Patillas,Puerto Rico,312
Peñuelas,Puerto Rico,263
Ponce,Puerto Rico,-1
Quebradillas,Puerto Rico,284
Rincón,Puerto Rico,232
Rí­o Grande,Puerto Rico,-1
Sabana Grande,Puerto Rico,112
Salinas,Puerto Rico,307
San Germán,Puerto Rico,120
San Juan,Puerto Rico,1460
San Lorenzo,Puerto Rico,-1
San Sebastián,Puerto Rico,205
Santa Isabel,Puerto Rico,475
Toa Alta,Puerto Rico,-1
Toa Baja,Puerto Rico,734
Trujillo Alto,Puerto Rico,-1
Utuado,Puerto Rico,125
Vega Alta,Puerto Rico,-1
Vega Baja,Puerto Rico,546
Vieques,Puerto Rico,514
Villalba,Puerto Rico,205
Yabucoa,Puerto Rico,-1
Yauco,Puerto Rico,-1
Bristol,Rhode Island,40
Kent,Rhode Island,-1
Newport,Rhode Island,-1
Providence,Rhode Island,203
Washington,Rhode Island,-1
Abbeville,South Carolina,-1
Aiken,South Carolina,369
Allendale,South Carolina,-1
Anderson,South Carolina,211
Bamberg,South Carolina,-1
Barnwell,South Carolina,809
Beaufort,South Carolina,168
Berkeley,South Carolina,275
Calhoun,South Carolina,-1
Charleston,South Carolina,544
Cherokee,South Carolina,-1
Chester,South Carolina,313
Chesterfield,South Carolina,-1
Clarendon,South Carolina,-1
Colleton,South Carolina,503
Darlington,South Carolina,456
Dillon,South Carolina,654
Dorchester,South Carolina,333
Edgefield,South Carolina,-1
Fairfield,South Carolina,-1
